"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Ryan Miller","20-21","ANA","G",16,870.92,50.85,441.65,611.79,40.37,88.49,91.69,93.4,-1.71,-10.2,-10.48
"Sam Montembeault","18-19","FLA","G",11,591.4,29.91,284.94,408.38,26.9,89.5,92.68,93.41,-0.74,-4.22,-3.01
"Sam Montembeault","19-20","FLA","G",14,700.75,39.06,370.44,510.75,29.27,89.46,92.35,94.27,-1.92,-5.59,-9.79
"Sam Montembeault","21-22","MTL","G",38,1942.77,122.23,1150,1541.53,107.71,89.37,92.07,93.01,-0.94,-15.5,-14.52
"Sam Montembeault","22-23","MTL","G",40,2333.48,132.91,1363,1906.83,149.69,90.25,93.03,92.15,0.88,-2.54,16.78
"Sam Montembeault","23-24","MTL","G",41,2428.7,128.12,1316.72,1906.69,146.51,90.27,93.28,92.32,0.96,-0.9,18.39
"Sam Montembeault","24-25","MTL","G",62,3533.68,167.52,1694.16,2608.37,198.31,90.11,93.58,92.4,1.18,2.02,30.79
"Samuel Ersson","22-23","PHI","G",12,644.92,31.98,322.66,475.74,34.27,90.09,93.28,92.8,0.48,-1.11,2.29
"Samuel Ersson","23-24","PHI","G",51,2809.47,133.05,1203.11,1802.22,131.15,88.94,92.62,92.72,-0.11,-16.8,-1.9
"Samuel Ersson","24-25","PHI","G",47,2601.78,137.5,1172.69,1771.19,115.41,88.27,92.24,93.48,-1.25,-20.14,-22.09
"Scott Clemmensen","07-08","TOR","G",3,154.33,10.07,63.4,104.2,6.54,84.12,90.34,93.72,-3.39,-4.29,-3.53
"Scott Clemmensen","08-09","N.J","G",40,2356.32,93.62,1129.36,1522.44,89.16,91.71,93.85,94.14,-0.29,9.71,-4.46
"Scott Clemmensen","09-10","FLA","G",23,1215.35,58.54,666.99,917.1,53.84,91.22,93.62,94.13,-0.51,0.63,-4.7
"Scott Clemmensen","10-11","FLA","G",31,1695.98,73.75,855.91,1246.57,70.09,91.38,94.08,94.38,-0.29,0.92,-3.66
"Scott Clemmensen","11-12","FLA","G",30,1565.87,67.08,772.02,1046.15,58.92,91.31,93.59,94.37,-0.78,-0.26,-8.16
"Scott Clemmensen","12-13","FLA","G",19,866.42,53.55,437.37,616.13,42.38,87.76,91.31,93.12,-1.81,-15.02,-11.17
"Scott Clemmensen","13-14","FLA","G",17,914.18,46.72,461.35,634.29,39.41,89.87,92.63,93.79,-1.15,-7.05,-7.31
"Scott Clemmensen","14-15","N.J","G",3,101.58,7.84,51.96,66.83,5.79,84.91,88.27,91.34,-3.07,-3.41,-2.05
"Scott Darling","14-15","CHI","G",14,832.52,25.73,406.67,544.08,35.22,93.67,95.27,93.53,1.74,8.95,9.49
"Scott Darling","15-16","CHI","G",29,1560.02,66.2,779.06,1061.92,64.85,91.5,93.77,93.89,-0.13,0.18,-1.35
"Scott Darling","16-17","CHI","G",32,1688.58,66.73,871.55,1136.78,73.88,92.34,94.13,93.5,0.63,8.62,7.15
"Scott Darling","17-18","CAR","G",43,2475.12,129.93,1180.9,1680.56,106.77,89,92.27,93.65,-1.38,-26.35,-23.16
"Scott Darling","18-19","CAR","G",8,485.57,27.45,239.47,344.25,23.66,88.54,92.03,93.13,-1.1,-5.86,-3.79
"Scott Wedgewood","15-16","N.J","G",4,240.75,4.78,113.82,156.42,9.85,95.8,96.94,93.7,3.24,4.92,5.07
"Scott Wedgewood","17-18","ARI","G",20,1096.5,63.35,593.66,886.91,53.41,89.33,92.86,93.98,-1.12,-11.28,-9.94
"Scott Wedgewood","20-21","N.J","G",16,888.03,46.38,467.99,630.01,40.87,90.09,92.64,93.51,-0.87,-3.31,-5.51
"Scott Wedgewood","21-22","ARI","G",26,1481.43,78.34,897.84,1212.51,81.67,91.27,93.54,93.26,0.27,4.99,3.33
"Scott Wedgewood","21-22","DAL","G",8,453.93,22.87,267.18,358.87,23.45,91.44,93.63,93.47,0.16,1.93,0.58
"Scott Wedgewood","21-22","N.J","G",3,169.43,9.61,83.55,122.1,8.51,88.5,92.13,93.03,-0.9,-1.85,-1.1
"Scott Wedgewood","22-23","DAL","G",21,1126.77,50.59,592.11,801.07,53.73,91.46,93.68,93.29,0.39,6.04,3.14
"Scott Wedgewood","23-24","DAL","G",32,1789.08,84.77,836.98,1208.99,77.39,89.87,92.99,93.6,-0.61,-3.9,-7.38
"Scott Wedgewood","24-25","COL","G",19,1113.03,36.98,442.73,673.03,45.01,91.65,94.51,93.31,1.19,7.32,8.03
"Scott Wedgewood","24-25","NSH","G",5,260.02,16.38,138.31,196.14,12.07,88.16,91.65,93.85,-2.2,-2.54,-4.31
"Sebastien Caron","11-12","T.B","G",3,134.67,6.93,58.33,81.43,5.12,88.12,91.49,93.71,-2.22,-1.88,-1.81
"Semyon Varlamov","08-09","WSH","G",6,328.55,12.79,151.77,205.81,15.32,91.57,93.79,92.56,1.23,1.1,2.53
"Semyon Varlamov","09-10","WSH","G",26,1527.42,63.12,699.04,994.05,60.85,90.97,93.65,93.88,-0.23,-1.11,-2.27
"Semyon Varlamov","10-11","WSH","G",27,1559.9,57.85,760.38,1087.83,68.82,92.39,94.68,93.67,1.01,8.48,10.97
