"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Nikita Nesterenko","25-26","ANA","C",29,321.48,45.17,47.31,50.77,48.71,53.22,1.85,2.25,24.67,27.47,41.14,39.89,57.08,60.1,2.86,2.51,-0.4,-2.81,1.25,-3.03,0.35,7.5,91.83
"Nikita Zadorov","25-26","BOS","D",66,1132.97,57.18,48.76,48.41,48.77,45.99,2.59,1.94,26.66,28.02,41.22,43.93,57.77,60.69,2.53,2.97,0.65,-1.36,-2.71,-2.92,-0.44,9.72,93.07
"Niko Mikkola","25-26","FLA","D",66,1134.17,45.45,50.07,50.76,51.34,49.96,2.02,2.42,26.12,26.05,42.28,41.02,57.64,54.63,2.69,2.69,-0.4,0.07,1.26,3,0,7.72,90.71
"Nikolaj Ehlers","25-26","CAR","L",66,837.67,54.76,60.43,60.96,61.36,57.98,3.04,2.51,33.89,22.19,51.7,33.1,71.29,44.89,3.5,2.54,0.53,11.7,18.6,26.4,0.96,8.97,88.68
"Nikolas Matinpalo","25-26","OTT","D",34,464.23,45.93,46.2,45.53,47.11,51.41,1.97,2.32,23.01,26.78,34.66,41.47,51.74,58.09,2.4,2.27,-0.35,-3.78,-6.81,-6.35,0.13,8.57,91.34
"Nils Hoglander","25-26","VAN","L",25,275.37,40.75,46.51,47.88,49.92,44.04,1.51,2.2,22.22,25.55,35.87,39.05,52.06,52.22,2.24,2.84,-0.69,-3.33,-3.18,-0.16,-0.61,6.81,91.4
"Nils Lundkvist","25-26","DAL","D",40,629.77,56.9,52.38,52.3,52.1,55.93,2.99,2.26,26,23.64,39.21,35.76,55.88,51.37,2.94,2.31,0.73,2.36,3.45,4.51,0.62,11.49,90.42
"Nino Niederreiter","25-26","WPG","R",55,662.78,45.83,53.04,50.55,50.17,51.41,1.73,2.05,25.51,22.58,37.87,37.04,52.7,52.35,2.74,2.59,-0.32,2.93,0.83,0.35,0.15,6.8,90.92
"Noah Cates","25-26","PHI","L",66,791.67,55.36,50.37,47.83,46.64,49.71,2.08,1.67,22.41,22.08,33.47,36.5,46.57,53.29,2.24,2.27,0.4,0.33,-3.04,-6.72,-0.03,9.27,92.41
"Noah Dobson","25-26","MTL","D",66,1171.13,55.25,51.2,51.18,49.05,50.33,3.37,2.73,27.8,26.5,42.53,40.57,57.97,60.23,2.96,2.92,0.64,1.3,1.96,-2.25,0.04,12.13,89.7
"Noah Gregor","25-26","FLA","L",24,184.63,26.52,47.2,47.92,46.2,45.58,1.29,3.56,22.73,25.43,34.26,37.23,47.89,55.78,2.08,2.48,-2.28,-2.7,-2.97,-7.88,-0.4,5.66,85.98
"Noah Hanifin","25-26","VGK","D",56,1071.33,50.24,54.93,52.69,52.6,53.44,2.56,2.53,27.96,22.95,41.98,37.7,58.07,52.33,2.88,2.51,0.02,5.02,4.28,5.74,0.37,9.15,88.96
"Noah Juulsen","25-26","PHI","D",47,576.5,49.87,47.79,44.2,43.76,44.02,2.6,2.62,21.39,23.37,31.98,40.37,44.51,57.19,2.16,2.74,-0.01,-1.97,-8.39,-12.69,-0.59,12.17,88.8
"Noah Laba","25-26","NYR","C",64,745.37,50.36,43.05,45.3,45.34,46.72,1.89,1.86,20.4,26.99,34.09,41.16,50.15,60.46,2.26,2.58,0.03,-6.59,-7.08,-10.31,-0.32,9.26,93.1
