"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"118","Tom Poti","WSH","D","70","75.416666666667","132","18","88.00","100","16","86.21","70","14","83.33","14","1","93.33","10.96","1.1","90.91","81","12","87.10","37","6","86.05","6","1","85.71","44","6","88.00","5","0","100.00","44","4","91.67","3","0","100.00","20.00","92.86","1.129","34","18","7","54","82.93","55","24","10","84.62"
"546","David Booth","FLA","L","28","103.68333333333","154","21","88.00","115","19","85.82","89","14","86.41","10","1","90.91","10.12","1.39","87.91","72","12","85.71","28","5","84.85","6","1","85.71","44","7","86.27","3","0","100.00","76","6","92.68","1","0","100.00","11.24","92.86","1.041","69","14","1","27","98.57","107","27","6","94.69"
"331","Aaron Johnson","CGY, EDM","D","41","38.25","51","7","87.93","35","6","85.37","23","5","82.14","4","0","100.00","3.53","0.31","92.02","24","3","88.89","8","2","80.00","1","0","100.00","16","1","94.12","1","0","100.00","25","2","92.59","2","0","100.00","17.39","100.00","1.174","10","7","3","31","76.92","19","11","4","82.61"
"102","Filip Kuba","OTT","D","53","185.96666666667","313","43","87.92","244","38","86.52","184","31","85.58","25","1","96.15","24.21","3.63","86.98","158","23","87.29","76","11","87.36","12","1","92.31","82","12","87.23","5","0","100.00","140","13","91.50","8","0","100.00","13.59","96.77","1.104","103","15","0","13","100.00","195","35","6","97.01"
"275","Kurtis Foster","T.B","D","71","271.6","479","66","87.89","365","59","86.08","256","47","84.49","34","2","94.44","30.28","5.05","85.71","213","39","84.52","68","24","73.91","12","2","85.71","145","15","90.63","16","0","100.00","255","14","94.80","6","0","100.00","13.28","95.74","1.090","134","31","3","57","97.81","244","55","7","97.21"
"215","Jason Blake","ANA, TOR","L","82","158.63333333333","261","36","87.88","184","29","86.38","136","22","86.08","17","3","85.00","16.01","2.15","88.19","131","19","87.33","55","8","87.30","10","1","90.91","76","11","87.36","3","0","100.00","119","11","91.54","4","2","66.67","12.50","86.36","0.989","73","20","2","95","97.33","109","40","10","91.60"
"417","Aaron Rome","VAN","D","49","19.783333333333","29","4","87.88","22","2","91.67","18","2","90.00","1","0","100.00","1.99","0","99.88","10","0","100.00","7","0","100.00","0","0","-","3","0","100.00","0","0","-","17","2","89.47","1","0","100.00","5.56","100.00","1.056","13","5","2","22","86.67","18","6","3","85.71"
"819","Mika Pyorala","PHI","C","36","15.65","29","4","87.88","21","2","91.30","15","1","93.75","1","1","50.00","1.98","0.06","97.21","14","2","87.50","8","0","100.00","1","0","100.00","6","2","75.00","0","1","0.00","15","2","88.24","0","0","-","6.67","0.00","0.067","10","6","2","22","83.33","13","6","3","81.25"
"140","Sergei Samsonov","CAR","L","72","164.05","239","33","87.87","174","27","86.57","119","23","83.80","15","3","83.33","15.97","1.54","91.19","115","13","89.84","52","4","92.86","12","2","85.71","63","9","87.50","2","0","100.00","102","14","87.93","1","0","100.00","12.61","86.96","0.996","73","20","4","97","94.81","100","33","8","92.59"
"340","Kevin Bieksa","VAN","D","55","155.88333333333","253","35","87.85","192","29","86.88","127","24","84.11","18","2","90.00","16.19","1.9","89.48","118","16","88.06","57","7","89.06","11","2","84.62","61","9","87.14","3","0","100.00","122","12","91.04","3","0","100.00","14.17","91.67","1.058","67","14","5","56","93.06","138","25","9","93.88"
"81","Milan Hejduk","COL","R","56","196.48333333333","345","48","87.79","249","41","85.86","186","31","85.71","25","4","86.21","24.21","2.9","89.32","173","20","89.64","85","9","90.43","13","2","86.67","88","11","88.89","5","1","83.33","148","19","88.62","7","0","100.00","13.44","87.10","1.005","111","22","1","31","99.11","197","38","6","97.04"
"799","Michael Del Zotto","NYR","D","80","306.28333333333","474","66","87.78","376","54","87.44","267","46","85.30","37","6","86.05","39.56","5.43","87.94","307","45","87.22","139","25","84.76","20","4","83.33","168","20","89.36","14","1","93.33","157","17","90.23","2","0","100.00","13.86","86.96","1.008","140","32","2","28","98.59","295","59","9","97.04"
"808","Dan Sexton","ANA","R","41","59.933333333333","86","12","87.76","72","10","87.80","53","9","85.48","5","0","100.00","6.46","0.66","90.72","42","7","85.71","17","1","94.44","4","0","100.00","25","6","80.65","1","0","100.00","42","3","93.33","0","0","-","9.43","100.00","1.094","22","13","1","54","95.65","36","19","2","94.74"
"556","Peter Regin","OTT","C","75","97.516666666667","136","19","87.74","100","15","86.96","72","11","86.75","6","0","100.00","8.21","0.97","89.39","57","11","83.82","27","3","90.00","3","0","100.00","30","8","78.95","1","0","100.00","68","4","94.44","2","0","100.00","8.33","100.00","1.083","53","10","6","61","89.83","73","20","7","91.25"
"521","Cam Barker","CHI, MIN","D","70","151.38333333333","257","36","87.71","181","27","87.02","130","19","87.25","19","2","90.48","15.06","2.69","84.85","102","20","83.61","35","7","83.33","7","2","77.78","67","13","83.75","4","0","100.00","145","9","94.16","8","0","100.00","14.62","89.47","1.041","76","18","3","78","96.20","116","29","5","95.87"
