Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
731,Timothy Liljegren,25-26,S.J,D,43,866.05,1,7,3,11,34,60,98,1.99,2.94,1.67,3.32,82,47,6,36,79,11,6,1,1,-5,0,0,0
732,Tobias Bjornfot,25-26,FLA,D,11,127.07,2,0,1,3,9,10,15,0.59,22.22,20,5.9,8,6,1,8,36,0,0,0,0,0,0,0,0
733,Tom Willander,25-26,VAN,D,51,808.17,4,4,9,17,44,75,112,1.9,9.09,5.33,2.53,46,42,7,15,65,7,5,0,0,-2,0,0,0
734,Tom Wilson,25-26,WSH,R,54,1053.68,23,13,13,49,114,174,225,23.94,20.18,13.22,13.76,37,65,12,139,61,15,18,4,4,3,14,15,-1
735,Tomas Hertl,25-26,VGK,C,64,1108.4,24,16,14,54,160,252,326,32.04,15,9.52,12.71,33,40,13,86,61,12,16,1,0,3,591,427,164
736,Tony Deangelo,25-26,NYI,D,64,1218.28,5,16,9,30,125,180,270,6.08,4,2.78,3.38,59,85,16,26,60,11,6,1,1,-5,0,0,0
737,Travis Hamonic,25-26,DET,D,25,357.48,0,1,1,2,19,24,40,0.4,0,0,1.67,41,19,5,27,30,7,1,3,3,-6,0,0,0
738,Travis Konecny,25-26,PHI,R,58,1104.88,23,20,14,57,131,201,253,19.87,17.56,11.44,9.89,31,86,13,80,62,15,16,1,1,1,11,30,-19
739,Travis Mitchell,25-26,NYI,D,9,103.83,1,0,0,1,4,7,13,0.3,25,14.29,4.29,6,6,0,13,20,3,2,0,0,-1,0,0,0
740,Travis Sanheim,25-26,PHI,D,62,1499,6,9,11,26,70,126,193,6.86,8.57,4.76,5.44,117,87,20,37,75,10,12,0,0,2,0,0,0
741,Trent Frederic,25-26,EDM,C,61,664.07,4,1,0,5,59,86,113,9.32,6.78,4.65,10.84,16,28,7,155,56,6,8,3,3,2,89,65,24
742,Trevor Moore,25-26,L.A,L,49,785.68,7,5,5,17,94,144,188,10.46,7.45,4.86,7.26,27,40,19,35,64,4,3,0,0,-1,3,13,-10
743,Trevor Van Riemsdyk,25-26,WSH,D,50,774.57,2,1,5,8,28,48,78,2.61,7.14,4.17,5.44,72,34,12,7,48,8,5,0,0,-3,0,0,0
744,Trevor Zegras,25-26,PHI,C,62,1167.48,21,19,11,51,132,215,280,19.26,15.91,9.77,8.96,16,58,17,30,74,14,14,0,1,1,72,150,-78
